Feature_Set,Model,Accuracy,Precision,Recall,F1_Score,Training_Time_Seconds,Prediction_Time_Seconds,True_Positive,True_Negative,False_Positive,False_Negative
61 Features,Logistic Regression,0.9968938070277616,0.9976997699769977,0.9975002499750025,0.9976,0.32739690016023815,0.008510399842634797,9976,5429,23,25
61 Features,Decision Tree,0.999352876464117,0.9994001799460162,0.9996000399960004,0.999500099980004,0.6077684999909252,0.005632799817249179,9997,5446,6,4
61 Features,Random Forest,0.999547013524882,0.9997,0.9996000399960004,0.9996500174991251,0.6331439998466522,0.030054699862375855,9997,5449,3,4
Top 20 Features,Logistic Regression,0.9965055329062318,0.9970020985310283,0.9976002399760024,0.9973010795681727,0.08189520006999373,0.0029605000745505095,9977,5422,30,24
Top 20 Features,Decision Tree,0.9994823011712936,0.9996000399960004,0.9996000399960004,0.9996000399960004,0.11166550009511411,0.0029949001036584377,9997,5448,4,4
Top 20 Features,Random Forest,0.9997411505856468,0.9998999899989999,0.9997000299970003,0.9998,0.4521083999425173,0.027088700095191598,9998,5451,1,3
